event_id,city,rule,target_date,source_value,completeness,band,lo,hi,floor,ceil,half_up,half_even,c_floor,c_ceil,c_half_up,c_half_even,frac
543482,Hong Kong,P_HKO_AbsDailyMax,2026-06-02,33.3,C,33°C,33.0,33.0,33,34,33,33,True,False,True,True,0.3
560841,Hong Kong,P_HKO_AbsDailyMax,2026-06-06,30.4,C,30°C,30.0,30.0,30,31,30,30,True,False,True,True,0.4
564406,Hong Kong,P_HKO_AbsDailyMax,2026-06-07,32.0,C,32°C,32.0,32.0,32,32,32,32,True,True,True,True,0.0
571434,Hong Kong,P_HKO_AbsDailyMax,2026-06-10,28.6,C,28°C,28.0,28.0,28,29,29,29,True,False,False,False,0.6
582434,Hong Kong,P_HKO_AbsDailyMax,2026-06-13,30.6,C,30°C,30.0,30.0,30,31,31,31,True,False,False,False,0.6
593026,Hong Kong,P_HKO_AbsDailyMax,2026-06-16,27.1,C,27°C,27.0,27.0,27,28,27,27,True,False,True,True,0.1
603546,Hong Kong,P_HKO_AbsDailyMax,2026-06-19,31.3,C,31°C,31.0,31.0,31,32,31,31,True,False,True,True,0.3
624485,Hong Kong,P_HKO_AbsDailyMax,2026-06-25,32.9,C,32°C,32.0,32.0,32,33,33,33,True,False,False,False,0.9
643055,Hong Kong,P_HKO_AbsDailyMax,2026-06-30,32.1,C,32°C,32.0,32.0,32,33,32,32,True,False,True,True,0.1
650041,Hong Kong,P_HKO_AbsDailyMax,2026-07-02,32.2,C,32°C,32.0,32.0,32,33,32,32,True,False,True,True,0.2
671844,Hong Kong,P_HKO_AbsDailyMax,2026-07-08,31.8,C,31°C,31.0,31.0,31,32,32,32,True,False,False,False,0.8
675491,Hong Kong,P_HKO_AbsDailyMax,2026-07-09,31.8,C,31°C,31.0,31.0,31,32,32,32,True,False,False,False,0.8
686638,Hong Kong,P_HKO_AbsDailyMax,2026-07-12,34.5,C,34°C,34.0,34.0,34,35,35,34,True,False,False,True,0.5
705205,Hong Kong,P_HKO_AbsDailyMax,2026-07-17,30.3,C,30°C,30.0,30.0,30,31,30,30,True,False,True,True,0.3
708824,Hong Kong,P_HKO_AbsDailyMax,2026-07-18,30.5,C,30°C,30.0,30.0,30,31,31,30,True,False,False,True,0.5
746389,Hong Kong,P_HKO_AbsDailyMax,2026-07-27,28.7,C,28°C,28.0,28.0,28,29,29,29,True,False,False,False,0.7
771084,Hong Kong,P_HKO_AbsDailyMax,2026-08-01,28.9,C,28°C,28.0,28.0,28,29,29,29,True,False,False,False,0.9
789052,Hong Kong,P_HKO_AbsDailyMax,2026-08-05,33.1,C,33°C,33.0,33.0,33,34,33,33,True,False,True,True,0.1
794337,Hong Kong,P_HKO_AbsDailyMax,2026-08-06,34.4,C,34°C,34.0,34.0,34,35,34,34,True,False,True,True,0.4
804482,Hong Kong,P_HKO_AbsDailyMax,2026-08-08,34.7,C,34°C,34.0,34.0,34,35,35,35,True,False,False,False,0.7
831463,Hong Kong,P_HKO_AbsDailyMax,2026-08-13,33.8,C,33°C,33.0,33.0,33,34,34,34,True,False,False,False,0.8
836980,Hong Kong,P_HKO_AbsDailyMax,2026-08-14,30.7,C,30°C,30.0,30.0,30,31,31,31,True,False,False,False,0.7
855333,Hong Kong,P_HKO_AbsDailyMax,2026-08-17,32.3,C,32°C,32.0,32.0,32,33,32,32,True,False,True,True,0.3
893524,Hong Kong,P_HKO_AbsDailyMax,2026-08-25,31.1,C,31°C,31.0,31.0,31,32,31,31,True,False,True,True,0.1
899795,Hong Kong,P_HKO_AbsDailyMax,2026-08-26,29.9,C,29°C,29.0,29.0,29,30,30,30,True,False,False,False,0.9
279181,Hong Kong,P_HKO_AbsDailyMax,2026-03-21,22.3,C,22°C,22.0,22.0,22,23,22,22,True,False,True,True,0.3
282557,Hong Kong,P_HKO_AbsDailyMax,2026-03-22,25.4,C,25°C,25.0,25.0,25,26,25,25,True,False,True,True,0.4
322402,Hong Kong,P_HKO_AbsDailyMax,2026-03-30,28.3,C,28°C,28.0,28.0,28,29,28,28,True,False,True,True,0.3
322442,Hong Kong,P_HKO_AbsDailyMax,2026-04-01,27.3,C,27°C,27.0,27.0,27,28,27,27,True,False,True,True,0.3
322577,Hong Kong,P_HKO_AbsDailyMax,2026-04-04,26.4,C,26°C,26.0,26.0,26,27,26,26,True,False,True,True,0.4
341815,Hong Kong,P_HKO_AbsDailyMax,2026-04-08,26.7,C,26°C,26.0,26.0,26,27,27,27,True,False,False,False,0.7
373598,Hong Kong,P_HKO_AbsDailyMax,2026-04-15,28.9,C,28°C,28.0,28.0,28,29,29,29,True,False,False,False,0.9
401685,Hong Kong,P_HKO_AbsDailyMax,2026-04-23,29.0,C,29°C,29.0,29.0,29,29,29,29,True,True,True,True,0.0
405205,Hong Kong,P_HKO_AbsDailyMax,2026-04-24,23.7,C,23°C,23.0,23.0,23,24,24,24,True,False,False,False,0.7
415463,Hong Kong,P_HKO_AbsDailyMax,2026-04-27,27.9,C,27°C,27.0,27.0,27,28,28,28,True,False,False,False,0.9
418838,Hong Kong,P_HKO_AbsDailyMax,2026-04-28,29.4,C,29°C,29.0,29.0,29,30,29,29,True,False,True,True,0.4
422466,Hong Kong,P_HKO_AbsDailyMax,2026-04-29,28.4,C,28°C,28.0,28.0,28,29,28,28,True,False,True,True,0.4
453819,Hong Kong,P_HKO_AbsDailyMax,2026-05-08,30.3,C,30°C,30.0,30.0,30,31,30,30,True,False,True,True,0.3
493669,Hong Kong,P_HKO_AbsDailyMax,2026-05-19,26.4,C,22°C or below,,22.0,26,27,26,26,False,False,False,False,0.4
504538,Hong Kong,P_HKO_AbsDailyMax,2026-05-22,31.4,C,31°C or higher,31.0,,31,32,31,31,True,True,True,True,0.4
509218,Hong Kong,P_HKO_AbsDailyMax,2026-05-23,30.3,C,30°C,30.0,30.0,30,31,30,30,True,False,True,True,0.3
522321,Hong Kong,P_HKO_AbsDailyMax,2026-05-27,33.7,C,33°C,33.0,33.0,33,34,34,34,True,False,False,False,0.7
529446,Hong Kong,P_HKO_AbsDailyMax,2026-05-29,34.1,C,34°C or higher,34.0,,34,35,34,34,True,True,True,True,0.1
540089,Hong Kong,P_HKO_AbsDailyMax,2026-06-01,32.3,C,32°C,32.0,32.0,32,33,32,32,True,False,True,True,0.3
550245,Hong Kong,P_HKO_AbsDailyMax,2026-06-04,34.2,C,34°C or higher,34.0,,34,35,34,34,True,True,True,True,0.2
568044,Hong Kong,P_HKO_AbsDailyMax,2026-06-09,28.4,C,28°C,28.0,28.0,28,29,28,28,True,False,True,True,0.4
575049,Hong Kong,P_HKO_AbsDailyMax,2026-06-11,29.0,C,29°C,29.0,29.0,29,29,29,29,True,True,True,True,0.0
589467,Hong Kong,P_HKO_AbsDailyMax,2026-06-15,29.9,C,29°C,29.0,29.0,29,30,30,30,True,False,False,False,0.9
596351,Hong Kong,P_HKO_AbsDailyMax,2026-06-17,28.4,C,28°C,28.0,28.0,28,29,28,28,True,False,True,True,0.4
607140,Hong Kong,P_HKO_AbsDailyMax,2026-06-20,31.5,C,31°C,31.0,31.0,31,32,32,32,True,False,False,False,0.5
610665,Hong Kong,P_HKO_AbsDailyMax,2026-06-21,33.1,C,33°C,33.0,33.0,33,34,33,33,True,False,True,True,0.1
614100,Hong Kong,P_HKO_AbsDailyMax,2026-06-22,33.0,C,33°C,33.0,33.0,33,33,33,33,True,True,True,True,0.0
617565,Hong Kong,P_HKO_AbsDailyMax,2026-06-23,32.2,C,32°C,32.0,32.0,32,33,32,32,True,False,True,True,0.2
628191,Hong Kong,P_HKO_AbsDailyMax,2026-06-26,31.6,C,31°C,31.0,31.0,31,32,32,32,True,False,False,False,0.6
653822,Hong Kong,P_HKO_AbsDailyMax,2026-07-03,31.0,C,31°C,31.0,31.0,31,31,31,31,True,True,True,True,0.0
712460,Hong Kong,P_HKO_AbsDailyMax,2026-07-19,30.6,C,30°C,30.0,30.0,30,31,31,31,True,False,False,False,0.6
716229,Hong Kong,P_HKO_AbsDailyMax,2026-07-20,29.7,C,29°C,29.0,29.0,29,30,30,30,True,False,False,False,0.7
720234,Hong Kong,P_HKO_AbsDailyMax,2026-07-21,30.9,C,30°C,30.0,30.0,30,31,31,31,True,False,False,False,0.9
736355,Hong Kong,P_HKO_AbsDailyMax,2026-07-25,34.5,C,34°C,34.0,34.0,34,35,35,34,True,False,False,True,0.5
750603,Hong Kong,P_HKO_AbsDailyMax,2026-07-28,29.5,C,29°C,29.0,29.0,29,30,30,30,True,False,False,False,0.5
759536,Hong Kong,P_HKO_AbsDailyMax,2026-07-30,28.8,C,28°C,28.0,28.0,28,29,29,29,True,False,False,False,0.8
775389,Hong Kong,P_HKO_AbsDailyMax,2026-08-02,26.8,C,26°C,26.0,26.0,26,27,27,27,True,False,False,False,0.8
779948,Hong Kong,P_HKO_AbsDailyMax,2026-08-03,28.4,C,28°C,28.0,28.0,28,29,28,28,True,False,True,True,0.4
784717,Hong Kong,P_HKO_AbsDailyMax,2026-08-04,32.5,C,32°C,32.0,32.0,32,33,33,32,True,False,False,True,0.5
799601,Hong Kong,P_HKO_AbsDailyMax,2026-08-07,33.8,C,33°C,33.0,33.0,33,34,34,34,True,False,False,False,0.8
842144,Hong Kong,P_HKO_AbsDailyMax,2026-08-15,31.8,C,31°C,31.0,31.0,31,32,32,32,True,False,False,False,0.8
857508,Hong Kong,P_HKO_AbsDailyMax,2026-08-18,32.2,C,32°C,32.0,32.0,32,33,32,32,True,False,True,True,0.2
919413,Hong Kong,P_HKO_AbsDailyMax,2026-08-29,32.8,C,32°C,32.0,32.0,32,33,33,33,True,False,False,False,0.8
924289,Hong Kong,P_HKO_AbsDailyMax,2026-08-30,30.1,C,30°C,30.0,30.0,30,31,30,30,True,False,True,True,0.1
929252,Hong Kong,P_HKO_AbsDailyMax,2026-08-31,29.5,C,29°C,29.0,29.0,29,30,30,30,True,False,False,False,0.5
276884,Hong Kong,P_HKO_AbsDailyMax,2026-03-18,27.8,C,27°C,27.0,27.0,27,28,28,28,True,False,False,False,0.8
