event_id,city,rule,target_date,source_value,completeness,band,lo,hi,floor,ceil,half_up,half_even,c_floor,c_ceil,c_half_up,c_half_even,frac
566662,Hong Kong,P_HKO_AbsDailyMax,2026-06-08,30.9,C,30°C,30.0,30.0,30,31,31,31,True,False,False,False,0.9
585974,Hong Kong,P_HKO_AbsDailyMax,2026-06-14,29.5,C,29°C,29.0,29.0,29,30,30,30,True,False,False,False,0.5
646490,Hong Kong,P_HKO_AbsDailyMax,2026-07-01,33.5,C,33°C,33.0,33.0,33,34,34,34,True,False,False,False,0.5
657477,Hong Kong,P_HKO_AbsDailyMax,2026-07-04,32.6,C,32°C,32.0,32.0,32,33,33,33,True,False,False,False,0.6
690243,Hong Kong,P_HKO_AbsDailyMax,2026-07-13,33.8,C,33°C,33.0,33.0,33,34,34,34,True,False,False,False,0.8
693920,Hong Kong,P_HKO_AbsDailyMax,2026-07-14,28.8,C,28°C,28.0,28.0,28,29,29,29,True,False,False,False,0.8
697509,Hong Kong,P_HKO_AbsDailyMax,2026-07-15,28.8,C,28°C,28.0,28.0,28,29,29,29,True,False,False,False,0.8
731549,Hong Kong,P_HKO_AbsDailyMax,2026-07-24,33.7,C,33°C,33.0,33.0,33,34,34,34,True,False,False,False,0.7
766610,Hong Kong,P_HKO_AbsDailyMax,2026-07-31,27.6,C,27°C,27.0,27.0,27,28,28,28,True,False,False,False,0.6
847072,Hong Kong,P_HKO_AbsDailyMax,2026-08-16,33.6,C,33°C,33.0,33.0,33,34,34,34,True,False,False,False,0.6
869080,Hong Kong,P_HKO_AbsDailyMax,2026-08-20,29.7,C,29°C,29.0,29.0,29,30,30,30,True,False,False,False,0.7
874082,Hong Kong,P_HKO_AbsDailyMax,2026-08-21,31.5,C,31°C,31.0,31.0,31,32,32,32,True,False,False,False,0.5
