event_id,st,d,n_cat,n_store,prefix_by_id,prefix_by_lo
249622,EGLC,2026-03-08,9,3,true,true
295961,EGLC,2026-03-26,11,3,true,true
256667,EGLC,2026-03-10,9,3,true,true
241188,EGLC,2026-03-04,9,3,true,true
550261,KSFO,2026-06-04,11,1,true,true
586000,ZGGG,2026-06-14,11,1,true,true
589055,KBKF,2026-06-14,11,1,true,true
671835,EGLC,2026-07-08,11,3,true,true
359524,EGLC,2026-04-13,11,11,true,true
426272,FACT,2026-04-30,11,11,true,true
460680,ZUUU,2026-05-10,11,11,true,true
216584,EGLC,2026-02-21,9,3,true,true
345378,EGLC,2026-04-09,11,11,true,true
359539,EDDM,2026-04-13,11,11,true,true
390829,LEMD,2026-04-20,11,11,true,true
408586,LTAC,2026-04-25,11,11,true,true
408594,WSSS,2026-04-25,11,11,true,true
408606,KHOU,2026-04-25,11,11,true,true
426235,KATL,2026-04-30,11,11,true,true
443317,ZSPD,2026-05-05,11,11,true,true
460661,NZWN,2026-05-10,11,11,true,true
460671,EPWA,2026-05-10,11,11,true,true
479756,ZGGG,2026-05-15,11,11,true,true
497033,ZGGG,2026-05-20,11,1,true,true
341844,ZBAA,2026-04-08,11,11,true,true
359538,VILK,2026-04-13,11,11,true,true
359568,EPWA,2026-04-13,11,11,true,true
390855,OPKC,2026-04-20,11,11,true,true
408615,MPMG,2026-04-25,11,11,true,true
426256,KAUS,2026-04-30,11,11,true,true
460710,MMMX,2026-05-10,11,11,true,true
731569,ZGGG,2026-07-24,11,1,true,true
758587,KHOU,2026-07-29,11,1,true,true
836384,MMMX,2026-08-13,11,1,true,true
847063,EGLC,2026-08-16,11,3,true,true
857503,NZWN,2026-08-18,11,1,true,true
883977,RCSS,2026-08-23,11,1,true,true
883993,RKPK,2026-08-23,11,1,true,true
952277,,2026-09-04,11,11,true,true
509200,EGLC,2026-05-23,11,3,true,true
515630,SAEZ,2026-05-25,11,1,true,true
515690,ZBAA,2026-05-25,11,1,true,true
522303,EGLC,2026-05-27,11,3,true,true
624139,CYYZ,2026-06-24,11,1,true,true
639547,WSSS,2026-06-29,11,1,true,true
639706,VILK,2026-06-29,11,1,true,true
675502,ZGSZ,2026-07-09,11,1,true,true
693921,ZSPD,2026-07-14,11,1,true,true
231941,EGLC,2026-02-28,9,3,true,true
258468,EGLC,2026-03-12,9,3,true,true
779968,ZSQD,2026-08-03,11,1,true,true
784117,SAEZ,2026-08-03,11,1,true,true
831662,EDDM,2026-08-13,11,1,true,true
836367,KDAL,2026-08-13,11,1,true,true
497017,KAUS,2026-05-20,11,1,true,true
533157,RJTT,2026-05-30,11,1,true,true
550240,NZWN,2026-06-04,11,1,true,true
568048,LEMD,2026-06-09,11,1,true,true
568052,ZBAA,2026-06-09,11,1,true,true
589041,KSEA,2026-06-14,11,1,true,true
624137,SBGR,2026-06-24,11,1,true,true
639540,LTAC,2026-06-29,11,1,true,true
660803,SBGR,2026-07-04,11,1,true,true
678806,KLGA,2026-07-09,11,1,true,true
678815,KSFO,2026-07-09,11,1,true,true
678817,MPMG,2026-07-09,11,1,true,true
693922,WSSS,2026-07-14,11,1,true,true
951839,,2026-09-04,11,11,true,true
496987,EGLC,2026-05-20,11,11,true,true
341843,ZUCK,2026-04-08,11,11,true,true
390836,ZGSZ,2026-04-20,11,11,true,true
426249,EPWA,2026-04-30,11,11,true,true
443326,ZUUU,2026-05-05,11,11,true,true
460679,ZHHH,2026-05-10,11,11,true,true
460724,OPKC,2026-05-10,11,11,true,true
479714,CYYZ,2026-05-15,11,11,true,true
359588,WIHH,2026-04-13,11,11,true,true
408622,OPKC,2026-04-25,11,11,true,true
443325,ZHHH,2026-05-05,11,11,true,true
443347,ZSQD,2026-05-05,11,11,true,true
479712,SAEZ,2026-05-15,11,11,true,true
479760,OPKC,2026-05-15,11,11,true,true
779962,RKPK,2026-08-03,11,1,true,true
804472,NZWN,2026-08-08,11,1,true,true
804668,EHAM,2026-08-08,11,1,true,true
831468,ZBAA,2026-08-13,11,1,true,true
857511,LIMC,2026-08-18,11,1,true,true
862647,CYYZ,2026-08-18,11,1,true,true
951855,,2026-09-04,11,11,true,true
366454,OEJN,2026-04-13,11,11,true,true
390814,KLGA,2026-04-20,11,11,true,true
390820,NZWN,2026-04-20,11,11,true,true
390846,EHAM,2026-04-20,11,11,true,true
401667,EGLC,2026-04-23,11,11,true,true
408607,KLAX,2026-04-25,11,11,true,true
735890,MPMG,2026-07-24,11,1,true,true
804489,ZUUU,2026-08-08,11,1,true,true
804650,LFPB,2026-08-08,11,1,true,true
831462,RJTT,2026-08-13,11,1,true,true
878970,EGLC,2026-08-22,11,3,true,true
929243,,2026-08-31,11,3,true,true
496997,KMIA,2026-05-20,11,1,true,true
497014,ZHHH,2026-05-20,11,1,true,true
497019,KHOU,2026-05-20,11,1,true,true
515628,LFPB,2026-05-25,11,1,true,true
341808,KORD,2026-04-08,11,11,true,true
359535,KORD,2026-04-13,11,11,true,true
359575,KAUS,2026-04-13,11,11,true,true
390810,SAEZ,2026-04-20,11,11,true,true
390824,RJTT,2026-04-20,11,11,true,true
426226,EGLC,2026-04-30,11,11,true,true
426259,KLAX,2026-04-30,11,11,true,true
443303,CYYZ,2026-05-05,11,11,true,true
443327,ZGSZ,2026-05-05,11,11,true,true
443343,DNMM,2026-05-05,11,11,true,true
460715,WMKK,2026-05-10,11,11,true,true
479735,ZBAA,2026-05-15,11,11,true,true
479751,WMKK,2026-05-15,11,11,true,true
